Jugador 35, 2022-12-04 20:03:47.415625, Partida Especial Navidad, 2022-12-04 20:03:47.415648
Jugador 36, 2022-12-04 20:03:47.417039, Partida Especial Navidad, 2022-12-04 20:03:47.420815
Jugador 49, 2022-12-04 20:03:47.422916, Partida Especial Navidad, 2022-12-04 20:03:47.422930
Jugador 38, 2022-12-04 20:03:47.420896, Partida Versus, 2022-12-04 20:03:47.423188
Jugador 39, 2022-12-04 20:03:47.421130, Partida Especial Navidad, 2022-12-04 20:03:47.423467
Jugador 40, 2022-12-04 20:03:47.421390, Partida Rápida, 2022-12-04 20:03:47.423799
Jugador 41, 2022-12-04 20:03:47.421553, Partida Versus, 2022-12-04 20:03:47.424079
Jugador 42, 2022-12-04 20:03:47.421702, Partida Especial Navidad, 2022-12-04 20:03:47.424506
Jugador 43, 2022-12-04 20:03:47.421847, Partida Especial Navidad, 2022-12-04 20:03:47.424617
Jugador 44, 2022-12-04 20:03:47.422005, Partida Rápida, 2022-12-04 20:03:47.424930
Jugador 45, 2022-12-04 20:03:47.422157, Partida Estándar, 2022-12-04 20:03:47.425225
Jugador 46, 2022-12-04 20:03:47.422295, Partida Rápida, 2022-12-04 20:03:47.425326
Jugador 47, 2022-12-04 20:03:47.422433, Partida Especial Navidad, 2022-12-04 20:03:47.425380
Jugador 48, 2022-12-04 20:03:47.422581, Partida Estándar, 2022-12-04 20:03:47.426314
Jugador 50, 2022-12-04 20:03:47.423166, Partida Versus, 2022-12-04 20:03:47.426433
Jugador 51, 2022-12-04 20:03:47.423355, Partida Especial Navidad, 2022-12-04 20:03:47.426522
Jugador 52, 2022-12-04 20:03:47.423636, Partida Rápida, 2022-12-04 20:03:47.426581
Jugador 53, 2022-12-04 20:03:47.423981, Partida Versus, 2022-12-04 20:03:47.426645
Jugador 54, 2022-12-04 20:03:47.424282, Partida Rápida, 2022-12-04 20:03:47.426695
Jugador 55, 2022-12-04 20:03:47.424485, Partida Especial Navidad, 2022-12-04 20:03:47.426748
Jugador 56, 2022-12-04 20:03:47.424818, Partida Rápida, 2022-12-04 20:03:47.426853
Jugador 37, 2022-12-04 20:03:47.420586, Partida Rápida, 2022-12-04 20:03:47.426936
Jugador 57, 2022-12-04 20:03:47.429095, Partida Estándar, 2022-12-04 20:03:47.429120
Jugador 58, 2022-12-04 20:03:47.429491, Partida Estándar, 2022-12-04 20:03:47.429503
Jugador 59, 2022-12-04 20:03:47.429798, Partida Estándar, 2022-12-04 20:03:47.429811
Jugador 60, 2022-12-04 20:03:47.430081, Partida Estándar, 2022-12-04 20:03:47.430095
Jugador 61, 2022-12-04 20:03:47.430461, Partida Especial Navidad, 2022-12-04 20:03:47.430474
Jugador 62, 2022-12-04 20:03:47.430695, Partida Especial Navidad, 2022-12-04 20:03:47.430709
Jugador 63, 2022-12-04 20:03:47.430938, Partida Rápida, 2022-12-04 20:03:47.430952
Jugador 64, 2022-12-04 20:03:47.431195, Partida Especial Navidad, 2022-12-04 20:03:47.431215
Jugador 65, 2022-12-04 20:03:47.433261, Partida Especial Navidad, 2022-12-04 20:03:47.433305
Jugador 66, 2022-12-04 20:03:47.435620, Partida Versus, 2022-12-04 20:03:47.435643
Jugador 67, 2022-12-04 20:03:47.436021, Partida Versus, 2022-12-04 20:03:47.436040
Jugador 68, 2022-12-04 20:03:47.436291, Partida Estándar, 2022-12-04 20:03:47.436450
Jugador 69, 2022-12-04 20:03:47.436570, Partida Especial Navidad, 2022-12-04 20:03:47.436582
Jugador 70, 2022-12-04 20:03:47.436747, Partida Estándar, 2022-12-04 20:03:47.437015
Jugador 71, 2022-12-04 20:03:47.436992, Partida Versus, 2022-12-04 20:03:47.437243
Jugador 72, 2022-12-04 20:03:47.438531, Partida Estándar, 2022-12-04 20:03:47.438549
Jugador 73, 2022-12-04 20:03:47.438780, Partida Versus, 2022-12-04 20:03:47.441265
Jugador 74, 2022-12-04 20:03:47.441357, Partida Especial Navidad, 2022-12-04 20:03:47.441541
Jugador 75, 2022-12-04 20:03:47.442128, Partida Versus, 2022-12-04 20:03:47.442141
Jugador 76, 2022-12-04 20:03:47.443608, Partida Versus, 2022-12-04 20:03:47.443625
Jugador 77, 2022-12-04 20:03:47.445055, Partida Especial Navidad, 2022-12-04 20:03:47.445073
Jugador 78, 2022-12-04 20:03:47.445248, Partida Especial Navidad, 2022-12-04 20:03:47.445698
Jugador 79, 2022-12-04 20:03:47.445792, Partida Estándar, 2022-12-04 20:03:47.445801
Jugador 80, 2022-12-04 20:03:47.445986, Partida Estándar, 2022-12-04 20:03:47.445994
Jugador 81, 2022-12-04 20:03:47.446205, Partida Estándar, 2022-12-04 20:03:47.446708
Jugador 82, 2022-12-04 20:03:47.446793, Partida Versus, 2022-12-04 20:03:47.447030
Jugador 83, 2022-12-04 20:03:47.447011, Partida Versus, 2022-12-04 20:03:47.447341
Jugador 84, 2022-12-04 20:03:47.447187, Partida Estándar, 2022-12-04 20:03:47.447407
Jugador 85, 2022-12-04 20:03:47.447477, Partida Versus, 2022-12-04 20:03:47.447664
